word,count
boy,",1
being,6
towed,1
towing,3
bitt.,1
god,6
travelling,1
down.",1
decides,2
sounds,1
dies,1
something.,1
plenty,3
do.,3
slant,6
kill,21
forever.,4
swimming,8
sea,,3
braced,4
solidly,2
noon,2
him,",3
pushed,6
straw,2
hat,2
forehead.,2
thirsty,1
jerk,5
little.,2
rested,10
un-stepped,1
tried,13
endure.,2
visible.,1
difference,,1
glow,7
that.,5
doesn't,1
sunrise.,2
cramps,2
strong.,4
tight,7
wire.,1
changed,3
course,7
direction,1
stars.,2
dried,2
legs.,3
during,2
sack,5
dry.,1
cautiously,1
cushioned,1
comfortable.,3
position,1
actually,1
somewhat,1
less,3
intolerable;,1
keeps,3
stood,3
stars,6
checked,2
course.,6
phosphorescent,2
streak,1
havana,3
strong,,3
eastward.,1
lose,5
eastward,,2
fish's,14
hours.,2
baseball,2
grand,1
today,,1
wonderful,3
radio.,1
always.,1
doing.,1
stupid.,2
this.",2
age,,1
unavoidable.,1
spoils,1
remember,,2
matter,4
to,,1
porpoise,1
rolling,1
blowing.,1
difference,3
blowing,3
male,8
sighing,1
blow,2
female.,1
good,",1
jokes,1
another.,1
brothers,1
fish.",6
pity,2
hooked.,1
is,,4
acted,1
strangely.,1
wise,1
jump.,2
ruin,1
rush.,1
fight.,1
man.,7
pulls,1
fight,11
panic,1
plans,2
desperate,1
am?,1
pair,1
marlin.,2
female,2
feed,4
female,,1
wild,,1
panic-stricken,,1
despairing,1
exhausted,1
her,,3
stayed,5
crossing,1
afraid,5
sharp,5
scythe,2
size,2
shape.,1
gaffed,1
clubbed,4
rapier,2
bill,6
sandpaper,1
top,5
colour,4
backing,2
mirrors,,1
aid,,1
aboard,,1
clearing,1
preparing,1
harpoon,,1
jumped,8
deep,,2
lavender,3
pectoral,3
fins,,1
stripes,8
showing.,1
beautiful,,2
remembered,,2
stayed.,1
saddest,1
begged,1
pardon,1
promptly.,1
here,",1
settled,7
rounded,1
planks,1
whatever,2
chosen.,1
once,,2
treachery,,1
necessary,3
choice,,1
choice,2
beyond,3
snares,1
traps,1
treacheries.,1
people.,2
world.,1
joined,2
noon.,1
fisherman,,1
surely,2
gets,2
light.,2
daylight,4
begin,2
rush,2
gunwale,2
skiff.,6
loosened,1
sheath,2
knife,18
wood,15
gunwale.,2
closest,1
loose,4
ends,1
skillfully,1
drew,6
knots,1
tight.,2
severed,1
connected.,1
light,,1
link,1
catalan,1
_cordel_,1
hooks,1
leaders.,1
replaced.,2
replaces,1
cuts,2
off?,1
broadbill,1
shark.,1
rid,1
boy.",1
boy,,1
yourself,3
surge,1
eye.,2
cheek,2
way.,2
coagulated,1
chin,2
wood.,3
adjusted,1
carefully,8
anchored,2
progress,1
lurch,4
for,,3
slipped,4
hill,1
certainly,1
badly,7
does.,2
forever,,1
is.,3
cleared,2
trouble,1
line;,1
ask.,1
"fish,",3
dead.",1
too,,4
suppose,,1
warm.,1
can,,3
extended,1
north,",1
tiring.,2
risen,4
realized,1
favorable,1
sign.,1
lesser,1
depth.,1
necessarily,1
mean,2
might.,1
jump,",1
handle,4
increase,2
tension,2
jump,,2
jump,4
fill,1
backbone,3
die.,1
tension,,1
harshness,1
ever,,1
widens,1
anyway,3
added,2
drag,5
pleased.,1
night.,6
respect,1
much.,4
dead,5
ends.",1
so,,3
north.,2
warbler,1
tired.,1
flew,1
"is,1
trip?",1
spoke.,1
tired,10
examine,1
teetered,1
gripped,3
"it's,2
steady,",1
steady.,4
shouldn't,2
windless,1
to?",1
hawks,,1
meet,1
understand,2
learn,3
hawks,1
enough.,1
"take,1
rest,,1
bird,",2
chance,2
encouraged,1
stiffened,1
"stay,1
like,,1
hoist,1
rising.,3
friend.",1
overboard,2
flown,1
jerked,4
noticed,3
bleeding.,1
"something,1
then,",1
touching,2
knows,,1
i.",2
liked,5
company.,2
long,,2
rougher,1
shore.,2
made?,1
pay,5
attention,3
failure,1
salt,",1
shifting,1
kneeling,1
washed,5
there,,2
submerged,,1
minute,2
movement,3
moved.,1
slowed,2
much,",1
burn,1
flesh.,1
started.,1
"now,",3
dried,,1
reach,2
comfort.",1
knelt,2
keeping,1
clear,6
lines.,4
arm,,2
place.,1
knee,1
longitudinally,1
wedge-shaped,2
bone,10
belly.,1
bow,,1
wiped,3
trousers,,1
carcass,3
bonito,2
overboard.,1
entire,1
one,",1
strips.,1
cramped.,2
disgust.,1
"cramp,1
want.,1
claw.,1
on,,6
strengthen,1
hand's,1
fault,2
piece,5
chewed,5
unpleasant.,1
chew,2
juices.,1
lime,1
lemon,1
salt.,2
feel,,2
hand?",1
cramped,4
rigor,1
mortis.,1
two.,1
spat,3
skin.,1
go,,2
hand?,1
know?",1
full-blooded,1
instead,5
dolphin.,5
sweet.,1
hardly,3
sense,1
anything,4
practical,1
though,,5
rot,1
dry,3
left,,1
hungry.,1
patient,,1
hand,",1
brother.,2
conscientiously,1
straightened,2
up,,4
wiping,1
trousers.,2
nonsense.",1
cramp,3
go,",1
seems,1
calm,,2
following,1
plan.,1
plan,,1
mine?,1
improvise,1
size.,2
stays,1
rubbed,3
fingers.,2
open.,2
raw,3
digested.,1
costs.,1
force.,1
itself,2
own,2
accord.,1
abused,1
unite,1
various,1
stretching,1
undulation,1
calm.,2
building,1
ducks,1
etching,2
themselves,3
blurring,,1
sea.,7
feared,1
months,3
hurricane,4
hurricanes,,1
year.,1
signs,1
ahead,,1
ashore,1
clouds.,2
cumulus,2
built,4
piles,1
cream,1
feathers,1
cirrus,2
sky.,3
"light,1
_brisa_,",1
"better,1
cramped,,1
unknotting,1
hate,1
cramp,,2
treachery,1
one's,2
humiliating,1
diarrhoea,1
ptomaine,1
poisoning,1
vomit,2
_calambre_,,1
humiliates,1
oneself,1
alone.,2
rub,1
loosen,3
forearm,,1
slapped,1
thigh,2
upward.,1
up,",2
on.",1
bulged,1
unendingly,1
poured,2
sides.,2
bright,3
lavender.,1
sword,4
bat,2
tapered,1
re-entered,1
smoothly,,1
diver,1
scythe-blade,1
race,1
skiff,",1
panicked.,1
convince,2
run.,1
broke.,1
god,,2
intelligent,2
them;,1
noble,3
able.,1
pounds,2
life,,1
land,,1
biggest,2
bigger,2
of,,1
claws,1
eagle.,1
uncramp,2
brothers:,1
hands.,4
uncramp.,1
unworthy,1
usual,1
pace.,1
jumped,,1
anyway,,2
am.,1
intelligence.,1
comfortably,2
suffering,4
uncramped.,1
"bad,1
news,1
shifted,3
comfortable,1
suffering,,1
admit,1
religious,",1
fathers,2
hail,3
marys,2
promise,1
pilgrimage,1
virgen,1
de,2
cobre,1
promise.",1
prayers,3
mechanically.,1
prayer,1
automatically.,1
easier,1
fathers,,1
"hail,1
mary,1
grace,1
lord,1
thee.,1
blessed,2
art,1
thou,1
women,2
fruit,1
thy,1
womb,,1
jesus.,1
holy,1
mary,,1
mother,1
pray,2
sinners,1
hour,6
death.,2
amen.",1
added,,2
"blessed,1
virgin,,1
death,3
is.",1
better,,1
much,,3
more,,2
began,,1
mechanically,,1
re-bait,1
stern,",1
bottle.,1
here.,3
won't,1
bad.,2
board,1
tonight.,1
attract,1
save,2
christ,,1
big.",2
though,",1
greatness,1
glory.",1
unjust,,1
endures.,1
proved,1
proving,1
past,2
doing,2
he'd,1
lions,,1
